T. Perdido  D. Perdidas  D. Ruido  ID swap  nBalls  <20%  20%80%  >80% Recall Precision   MOTA   MOTP
3          23           69         3        0       3     0       0     3 92.77%    99.66% 92.45% 70.42%
3          25           72         3        0       3     0       0     3 92.45%    99.66% 92.14% 70.43%
3          27           74         3        0       3     0       0     3 92.24%    99.66% 91.93% 70.44%
3          28           75         3        0       3     0       0     3 92.14%    99.66% 91.82% 70.43%
3          28           75         3        0       3     0       0     3 92.14%    99.66% 91.82% 70.43%
3          30           77         3        0       3     0       0     3 91.93%    99.66% 91.61% 70.49%
3          31           78         3        0       3     0       0     3 91.82%    99.66% 91.51% 70.48%
3          32           79         3        0       3     0       0     3 91.72%    99.66% 91.40% 70.48%
3          34           81         3        0       3     0       0     3 91.51%    99.66% 91.19% 70.45%
3          34           81         3        0       3     0       0     3 91.51%    99.66% 91.19% 70.45%
3          35           85         3        0       3     0       0     3 91.09%    99.66% 90.78% 70.46%
3          38           92         3        0       3     0       0     3 90.36%    99.65% 90.04% 70.53%
3          40           94         3        0       3     0       0     3 90.15%    99.65% 89.83% 70.56%
3          42           97         3        0       3     0       0     3 89.83%    99.65% 89.52% 70.58%
3          46          104         3        0       3     0       0     3 89.10%    99.65% 88.78% 70.55%
3          47          105         3        0       3     0       0     3 88.99%    99.65% 88.68% 70.57%
3          47          105         3        0       3     0       0     3 88.99%    99.65% 88.68% 70.57%
3          47          106         3        0       3     0       0     3 88.89%    99.65% 88.57% 70.55%
3          47          107         3        0       3     0       0     3 88.78%    99.65% 88.47% 70.53%
3          50          110         3        0       3     0       0     3 88.47%    99.65% 88.16% 70.52%
3          52          114         2        0       3     0       1     2 88.05%    99.76% 87.84% 70.59%
3          53          119         2        0       3     0       1     2 87.53%    99.76% 87.32% 70.63%
3          53          119         2        0       3     0       1     2 87.53%    99.76% 87.32% 70.63%
3          53          120         2        0       3     0       1     2 87.42%    99.76% 87.21% 70.61%
3          54          123         2        0       3     0       1     2 87.11%    99.76% 86.90% 70.62%
3          55          129         2        0       3     0       1     2 86.48%    99.76% 86.27% 70.65%
3          57          134         2        0       3     0       1     2 85.95%    99.76% 85.74% 70.73%
3          56          139         2        0       3     0       1     2 85.43%    99.76% 85.22% 70.78%
3          58          144         2        0       3     0       1     2 84.91%    99.75% 84.70% 70.85%
3          58          151         2        0       3     0       1     2 84.17%    99.75% 83.96% 70.87%
3          58          152         2        0       3     0       1     2 84.07%    99.75% 83.86% 70.89%
3          60          155         3        2       3     0       1     2 83.75%    99.63% 83.23% 70.92%
